RandomForest,SVM,NeuralNet
0.6249240121580547,0.5339712918660288,0.6183628318584071
0.6060606060606061,0.547089446284903,0.5945036455412227
0.6066465256797583,0.5244618395303327,0.5792474344355758
0.5964912280701754,0.5431980906921241,0.5979843225083986
0.6107711138310894,0.5396039603960396,0.5920090039392234
0.6258258258258258,0.5383159886471145,0.5986769570011026
0.5942995755003032,0.5234186383389667,0.5934065934065934
0.5974652987326494,0.5440464666021297,0.580608793686584
0.6139817629179332,0.553995157384988,0.6088864509051015
0.6076876143990237,0.5384992643452673,0.6022346368715084
